date,asset,open,high,low,close,volume,turnover,trailing-high,trailing-ago,prct-decline,trailing-max-decline,idx,setup,signal,initial,px0,px5,px10,px20,px40
2023-12-13 00:00:00+00:00,BBEU,54.94,55.66,54.69,55.65,29676,1651469.4,55.9,157,-0.021645796064400757,-0.1325581395348837,180,true,true,true,56.18,55.39,56.52,55.92,56.25
2025-05-23 00:00:00+00:00,BBJP,59.32,59.885,59.315,59.82,85790,5131957.8,60.645,164,-0.021930909390716513,-0.19037018715475307,541,true,true,true,61.36,61.44,60.45,60.0,63.13
2023-05-22 00:00:00+00:00,BBWI,37.32,38.34,36.66,38.11,423651,1.614533961E7,38.45,299,-0.04655396618985708,-0.18803641092327705,38,true,true,true,38.5,36.285,40.4,38.535,36.0
2024-08-29 00:00:00+00:00,BILS,99.47,99.475,99.47,99.475,1435,142746.625,99.535,145,-6.530366202842641E-4,-0.00727765508933953,357,true,true,true,99.52,99.22,99.33,99.61,99.44
2023-05-11 00:00:00+00:00,BITI,21.3,21.87,21.17,21.67,199208,4316837.36,22.145,299,-0.04402799729058471,-0.1347934070896365,31,true,true,true,22.1,21.74,22.1,21.86,18.71
2024-07-31 00:00:00+00:00,BIV,76.395,76.63,76.2,76.63,38540,2953320.1999999997,76.745,148,-0.007101439833213874,-0.09333161688980429,337,true,true,true,76.68,76.79,77.56,77.78,78.28
2025-10-20 00:00:00+00:00,BIV,78.695,78.75,78.655,78.74,44571,3509520.5399999996,78.89,272,-0.0029788312840663966,-0.06553428824946128,643,true,true,true,78.825,78.77,77.91,77.955,78.09
2023-11-17 00:00:00+00:00,BK,47.04,47.2,46.68,47.2,332192,1.56794624E7,47.23,151,-0.011645140800338738,-0.16027948337920817,163,true,true,true,47.13,47.0,47.89,51.42,54.59
2025-10-22 00:00:00+00:00,BKH,64.69,65.43,64.17,65.26,28483,1858800.58,65.48,226,-0.0200061087354918,-0.1605070250458156,645,true,true,true,65.485,63.74,64.8,69.75,68.92
2024-09-05 00:00:00+00:00,BLV,75.0,75.405,74.81,75.35,47493,3578597.55,75.535,173,-0.009598199510160832,-0.19238168526356292,362,true,true,true,75.32,75.79,75.7,74.36,71.32
2024-08-01 00:00:00+00:00,BND,73.485,73.67,73.44,73.57,303556,2.2332614919999998E7,73.93,148,-0.006627891248478401,-0.09019135554663471,338,true,true,true,74.39,73.6,74.07,74.51,75.3
2023-11-28 00:00:00+00:00,BNDX,48.945,49.115,48.94,49.1,123188,6048530.8,49.21,138,-0.005486689697216107,-0.0388132493395652,169,true,true,true,49.355,49.73,49.73,49.705,48.74
2023-06-12 00:00:00+00:00,BOOT,72.75,75.17,72.12,75.17,83221,6255722.57,78.07,299,-0.07621365441270644,-0.19918022287690518,52,true,true,true,77.81,79.13,82.91,90.17,94.96
2023-10-16 00:00:00+00:00,BP,40.3,40.32,39.69,40.22,643450,2.5879559E7,40.73,126,-0.025534004419346945,-0.18463049349373917,139,true,true,true,40.89,38.9,38.34,35.7,34.76
2025-01-27 00:00:00+00:00,BPOP,101.545,103.84,101.545,103.78,61224,6353826.72,105.02,127,-0.03308893544086833,-0.17149114454389636,459,true,true,true,102.47,99.91,101.45,100.36,93.11
2024-07-16 00:00:00+00:00,BRX,24.03,24.425,23.97,24.39,123694,3016896.66,24.47,145,-0.020433183489987794,-0.16509433962264153,326,true,true,true,24.52,24.715,26.39,25.32,27.29
2024-01-11 00:00:00+00:00,BSV,76.91,77.075,76.9,77.065,153205,1.1806743325E7,77.14,173,-0.0031112263417163444,-0.032603059372569354,199,true,true,true,77.24,76.84,76.945,76.66,76.725
2024-07-25 00:00:00+00:00,BSV,77.19,77.28,77.18,77.21,202058,1.5600898179999998E7,77.315,133,-0.0017461036021469978,-0.032603059372569354,333,true,true,true,77.35,77.59,77.77,78.07,78.79
2024-05-09 00:00:00+00:00,BSY,54.35,55.055,54.35,55.005,42776,2352893.88,55.37,206,-0.01842152790319662,-0.1894527722593461,281,true,true,true,55.47,56.1,52.68,50.81,47.81
2024-09-20 00:00:00+00:00,BWXT,98.0,102.99,98.0,102.85,64436,6627242.6,107.07,138,-0.08471093677033714,-0.1903427664144952,373,true,true,true,105.63,108.8,118.0,126.17,126.28
